Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,JP_Sales,Other_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Reviewed
Cel Damage,GC,2002,Racing,Electronic Arts,0.05,0,0,67,12,6.8,11,Pseudo Interactive,T,YES
MLB Front Office Manager,X360,2009,Sports,Take-Two Interactive,0.06,0,0.01,47,13,4.6,10,Blue Castle Games,E,YES
Naruto: Ultimate Ninja 2,PS2,2004,Fighting,Namco Bandai Games,0.47,0,0.08,73,27,7.9,27,CyberConnect2,T,YES
Planet Puzzle League,DS,2007,Puzzle,Nintendo,0.14,0.16,0.01,86,25,8.2,15,Intelligent Systems,E,YES
Samurai Warriors Chronicles 3,PSV,2014,Action,Tecmo Koei,0,0.06,0,70,9,7.9,14,Omega Force,T,YES
Halo 5: Guardians,XOne,2015,Shooter,Microsoft Game Studios,2.78,0.03,0.41,84,101,6.4,2438,343 Industries,T,YES
NHL 2004,PS2,2003,Sports,Electronic Arts,0.47,0,0.12,85,19,7.6,53,EA Sports,E,YES
DuckTales: Remastered,PS3,2013,Action,Capcom,0.01,0,0.01,75,31,7.4,135,WayForward,E,YES
Final Fantasy IV,DS,2007,Simulation,Square Enix,0.51,0.62,0.05,85,52,7.7,164,Matrix Software,E10+,YES
PokéPark Wii: Pikachu's Adventure,Wii,2009,Adventure,Nintendo,0.53,0.42,0.06,62,22,7.2,36,Creatures Inc.,E,YES
Game of Thrones,PC,2012,Role-Playing,Focus Home Interactive,0,0,0.01,58,23,6.5,345,"Cyanide, Cyanide Studios",M,YES
Spyborgs,Wii,2009,Action,Capcom,0.09,0,0.01,66,30,6.3,6,Bionic Games,T,YES
The Lord of the Rings: Conquest,PS3,2009,Action,Electronic Arts,0.38,0,0.11,54,45,7.1,57,Pandemic Studios,T,YES
FIFA Street,PS2,2005,Sports,Electronic Arts,0.15,0,0.04,59,29,7.9,52,EA Canada,E,YES
Enemy Territory: Quake Wars,PS3,2008,Shooter,Activision,0.23,0,0.04,60,30,6.4,14,"Z-Axis, Ltd.",T,YES
NHL 2002,PS2,2001,Sports,Electronic Arts,0.59,0,0.15,92,22,8.5,26,EA Sports,E,YES
Danganronpa Another Episode: Ultra Despair Girls,PSV,2014,Action,Nippon Ichi Software,0.06,0.12,0.02,72,35,8.4,77,Spike Chunsoft,M,YES
Dynasty Warriors: Gundam 2,PS3,2008,Action,Namco Bandai Games,0.09,0.32,0.03,54,22,7,28,Omega Force,T,YES
TMNT,DS,2007,Action,Ubisoft,0.03,0,0,42,10,2.2,5,Ubisoft Quebec,E10+,YES
